Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,29.719999,30.010000,28.639999,28.820000,28.625708,9744900
2020-09-24,28.570000,29.500000,28.110001,29.150000,28.953482,13542900
2020-09-25,28.860001,29.590000,28.840000,29.530001,29.330921,9418000
2020-09-28,29.990000,30.190001,29.570000,29.840000,29.638832,9323400
2020-09-29,29.650000,29.910000,28.900000,28.959999,28.764763,11466500
2020-09-30,29.150000,29.510000,27.879999,28.010000,27.821169,9358800
2020-10-01,28.160000,28.160000,27.030001,27.680000,27.493393,13944100
2020-10-02,27.150000,28.370001,26.990000,27.969999,27.781437,9109000
2020-10-05,28.100000,28.629999,28.059999,28.389999,28.198606,5874900
2020-10-06,28.750000,29.490000,28.430000,28.450001,28.258204,8724400
2020-10-07,28.950001,29.110001,28.639999,28.850000,28.655506,4870500
2020-10-08,29.049999,29.680000,28.740000,29.610001,29.410383,9561800
2020-10-09,29.889999,30.080000,28.900000,28.920000,28.725033,5729600
2020-10-12,28.830000,28.969999,28.270000,28.330000,28.139011,6608200
2020-10-13,27.730000,28.180000,27.090000,27.450001,27.264944,13413100
2020-10-14,27.500000,27.790001,27.200001,27.340000,27.155685,7127200
2020-10-15,27.469999,27.870001,27.219999,27.830000,27.642382,6884900
2020-10-16,27.969999,28.020000,27.430000,27.940001,27.751640,7503700
2020-10-19,28.150000,28.170000,27.010000,27.129999,26.947100,15514800
2020-10-20,27.420000,27.770000,27.110001,27.459999,27.274876,9204100
2020-10-21,27.459999,28.570000,27.100000,28.469999,28.278067,9283100
2020-10-22,28.700001,29.500000,28.600000,29.100000,28.903820,9179000
2020-10-23,29.299999,29.500000,28.700001,29.280001,29.082607,5877800
2020-10-26,28.639999,28.940001,28.290001,28.750000,28.556179,7403400
2020-10-27,28.559999,28.639999,28.059999,28.209999,28.019819,8316700
2020-10-28,27.500000,28.170000,27.400000,27.799999,27.612583,12407000
2020-10-29,27.660000,28.299999,27.520000,28.129999,27.940359,7449700
2020-10-30,27.799999,28.590000,27.660000,28.570000,28.377392,12162900
2020-11-02,28.799999,29.660000,28.360001,29.600000,29.400450,11088900
2020-11-03,30.000000,30.480000,29.690001,30.129999,29.926876,12412800
2020-11-04,29.959999,30.280001,29.309999,29.770000,29.569304,8869700
2020-11-05,30.010000,31.350000,30.010000,31.290001,31.079058,11691700
2020-11-06,30.750000,30.980000,28.850000,29.299999,29.102470,26843600
2020-11-09,30.850000,31.150000,28.780001,29.049999,28.854156,17020200
2020-11-10,29.160000,30.080000,28.860001,30.070000,29.867281,8927500
2020-11-11,29.760000,30.350000,29.590000,30.200001,29.996405,9281700
2020-11-12,30.000000,30.000000,29.120001,29.250000,29.052809,8077300
2020-11-13,29.400000,30.480000,29.379999,30.200001,29.996405,7894200
2020-11-16,30.770000,32.529999,30.620001,31.900000,31.684942,21017100
2020-11-17,31.600000,32.889999,30.990000,32.290001,32.072315,9860900
