Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,127.070000,127.300003,122.900002,123.279999,123.279999,8323600
2020-09-24,121.930000,123.800003,120.779999,122.489998,122.489998,8480000
2020-09-25,121.360001,124.190002,120.980003,124.000000,124.000000,6851800
2020-09-28,125.750000,126.860001,125.370003,125.989998,125.989998,6283700
2020-09-29,125.919998,126.290001,123.680000,125.400002,125.400002,7405800
2020-09-30,123.239998,125.550003,123.239998,124.080002,124.080002,13556800
2020-10-01,124.940002,125.470001,122.419998,123.309998,123.309998,8908300
2020-10-02,121.989998,123.680000,121.690002,122.550003,122.550003,6490200
2020-10-05,123.260002,123.599998,122.330002,123.370003,123.370003,5919200
2020-10-06,123.129997,124.190002,120.610001,120.930000,120.930000,9052000
2020-10-07,121.949997,123.309998,120.930000,122.910004,122.910004,10187800
2020-10-08,123.580002,123.750000,122.419998,123.089996,123.089996,7404600
2020-10-09,123.849998,125.550003,123.330002,124.980003,124.980003,11502200
2020-10-12,124.900002,125.940002,123.730003,124.970001,124.970001,10958200
2020-10-13,129.800003,131.360001,127.900002,128.960007,128.960007,22389000
2020-10-14,129.139999,129.500000,125.290001,126.589996,126.589996,11536600
2020-10-15,125.000000,127.400002,124.430000,127.360001,127.360001,7744000
2020-10-16,127.809998,128.119995,126.330002,126.809998,126.809998,6291700
2020-10-19,127.370003,127.400002,123.709999,124.230003,124.230003,6576900
2020-10-20,124.580002,125.730003,123.639999,124.949997,124.949997,6161200
2020-10-21,124.360001,127.559998,123.839996,126.629997,126.629997,6591500
2020-10-22,126.669998,128.100006,125.970001,127.559998,127.559998,5177700
2020-10-23,128.100006,128.500000,126.349998,128.350006,128.350006,5439900
2020-10-26,127.110001,127.110001,122.949997,124.059998,124.059998,8578900
2020-10-27,124.029999,124.610001,123.029999,123.309998,123.309998,6813800
2020-10-28,121.010002,121.529999,118.320000,118.470001,118.470001,11654700
2020-10-29,118.160004,122.629997,117.230003,121.540001,121.540001,9583700
2020-10-30,120.639999,121.750000,119.089996,121.250000,121.250000,8090200
2020-11-02,122.239998,122.930000,119.809998,120.129997,120.129997,9186000
2020-11-03,121.610001,125.070000,121.370003,124.019997,124.019997,8144900
2020-11-04,123.580002,126.860001,123.410004,125.070000,125.070000,7483000
2020-11-05,126.779999,128.619995,125.800003,126.959999,126.959999,7654800
2020-11-06,126.260002,128.039993,124.610001,127.459999,127.459999,6259700
2020-11-09,140.259995,147.679993,138.070007,142.589996,142.589996,35634700
2020-11-10,139.970001,142.369995,137.669998,142.110001,142.110001,18115400
2020-11-11,141.470001,142.000000,136.619995,137.820007,137.820007,9600900
2020-11-12,136.339996,138.490005,134.100006,135.520004,135.520004,13768200
2020-11-13,140.899994,141.190002,136.520004,138.360001,138.360001,21062300
2020-11-16,141.570007,144.740005,141.570007,144.669998,144.669998,16382500
2020-11-17,144.399994,144.830002,142.559998,144.500000,144.500000,9354900
2020-11-18,144.500000,145.479996,143.350006,143.899994,143.899994,9456200
2020-11-19,142.570007,143.300003,141.699997,141.720001,141.720001,8892500
2020-11-20,141.710007,142.610001,140.860001,141.070007,141.070007,8481600
2020-11-23,142.449997,147.750000,141.699997,145.979996,145.979996,12887000
2020-11-24,148.160004,151.860001,147.850006,151.490005,151.490005,16711700
2020-11-25,150.270004,150.270004,147.240005,149.089996,149.089996,9552000
2020-11-27,149.000000,150.350006,146.529999,147.130005,147.130005,5306400
2020-11-30,147.059998,148.690002,146.289993,148.009995,148.009995,9710100
2020-12-01,149.570007,151.399994,149.000000,149.440002,149.440002,8827800
2020-12-02,149.490005,154.009995,148.339996,153.610001,153.610001,10601900
2020-12-03,153.449997,154.440002,152.130005,153.240005,153.240005,9063200
2020-12-04,153.690002,154.679993,152.809998,154.139999,154.139999,6033300
2020-12-07,153.179993,153.880005,152.259995,153.679993,153.679993,6815500
2020-12-08,152.419998,154.880005,152.250000,153.720001,153.720001,7900600
2020-12-09,156.289993,157.460007,153.889999,154.429993,154.429993,10804300
2020-12-10,153.320007,155.339996,152.500000,154.690002,154.690002,8993200
2020-12-11,169.679993,179.449997,165.330002,175.720001,175.720001,87410700
2020-12-14,173.800003,177.300003,168.809998,169.300003,169.300003,30939400
2020-12-15,170.490005,174.470001,167.820007,173.940002,173.940002,18817200
2020-12-16,173.990005,174.850006,171.619995,173.119995,173.119995,11105800
2020-12-17,173.820007,174.839996,171.960007,173.550003,173.550003,9004600
2020-12-18,173.600006,175.839996,172.279999,172.889999,172.889999,21172100
2020-12-21,170.089996,171.940002,168.190002,170.690002,170.690002,11424200
2020-12-22,170.000000,171.449997,169.160004,170.449997,170.449997,6419200
